,provinsi,kabupaten,ibukota,hektar,penduduk,density
478,Papua,Kabupaten Jayapura,Sentani,1115715.0,165404.0,14.824932890567933
479,Papua,Kabupaten Jayawijaya,Wamena,703066.0,268137.0,38.13824022211286
480,Papua,Kabupaten Keerom,Waris,839000.0,59406.0,7.080572109654351
481,Papua,Kabupaten Kepulauan Yapen,Serui,205000.0,109531.0,53.429756097560976
482,Papua,Kabupaten Lanny Jaya,Tiom,224800.0,197313.0,87.77268683274022
483,Papua,Kabupaten Mamberamo Raya,Burmeso,2381391.0,34558.0,1.4511686657084033
484,Papua,Kabupaten Mamberamo Tengah,Kobakma,127500.0,44788.0,35.1278431372549
485,Papua,Kabupaten Mappi,Kepi,2411800.0,102113.0,4.233891699145866
486,Papua,Kabupaten Merauke,Merauke,4407100.0,221886.0,5.03473939778993
487,Papua,Kabupaten Mimika,Timika,2163300.0,306517.0,14.168954837516758
488,Papua,Kabupaten Nabire,Nabire,1111261.0,166463.0,14.979649245316805
489,Papua,Kabupaten Nduga,Kenyam,216800.0,106354.0,49.056273062730625
490,Papua,Kabupaten Paniai,Enarotali,652525.0,117047.0,17.937550285429676
491,Papua,Kabupaten Pegunungan Bintang,Oksibil,1568200.0,107353.0,6.845619181226884
492,Papua,Kabupaten Puncak,Ilaga,805500.0,158406.0,19.66554934823091
493,Papua,Kabupaten Puncak Jaya,Kotamulia,498951.0,215106.0,43.111648238003326
494,Papua,Kabupaten Sarmi,Sarmi,1774200.0,36726.0,2.0700033818058845
495,Papua,Kabupaten Supiori,Sorendiweri,67832.0,21014.0,30.979478712112275
496,Papua,Kabupaten Tolikara,Karubaga,558813.0,246858.0,44.175421831632406
497,Papua,Kabupaten Waropen,Botawa,1097709.0,32541.0,2.964446861599932
498,Papua,Kabupaten Yahukimo,Sumohai,1715200.0,349410.0,20.37138526119403
499,Papua,Kabupaten Yalimo,Elelim,125300.0,118829.0,94.83559457302474
500,Papua,Kota Jayapura,-,93592.0,417492.0,446.07658774254213
501,Papua Barat,Kabupaten Fakfak,Fakfak,1432000.0,84692.0,5.914245810055866
502,Papua Barat,Kabupaten Kaimana,Kaimana,1624184.0,61370.0,3.778512779340272
503,Papua Barat,Kabupaten Manokwari,Manokwari,318628.0,185615.0,58.254453469249405
504,Papua Barat,Kabupaten Manokwari Selatan,Ransiki,281244.0,34009.0,12.092346858955214
505,Papua Barat,Kabupaten Maybrat,Kumurkek,546169.0,41431.0,7.585747268702545
506,Papua Barat,Kabupaten Pegunungan Arfak,Anggi,277374.0,36818.0,13.273774758989669
507,Papua Barat,Kabupaten Raja Ampat,Waisai,803444.0,62861.0,7.823942925704841
508,Papua Barat,Kabupaten Sorong,Aimas,654423.0,118985.0,18.18166537545288
509,Papua Barat,Kabupaten Sorong Selatan,Teminabuan,659431.0,57676.0,8.746328273921002
510,Papua Barat,Kabupaten Tambrauw,Fef,1152918.0,13879.0,1.2038150154651068
511,Papua Barat,Kabupaten Teluk Bintuni,Bintuni,2084083.0,76932.0,3.69140768385904
512,Papua Barat,Kabupaten Teluk Wondama,Rasiei,395953.0,41304.0,10.431541117253815
513,Papua Barat,Kota Sorong,-,65664.0,275618.0,419.73988791423005
